43,10,67,235,255
23,33,13,219,204
44,10,0,148,251
24,33,43,51,158
45,10,43,51,158
25,33,0,148,251
46,10,59,118,216
26,33,13,219,204
47,10,13,219,204
27,33,67,235,255
48,10,43,51,158
28,33,43,51,158
49,10,13,219,204
29,33,59,118,216
50,10,0,58,118
30,33,0,148,251
51,10,43,51,158
31,33,43,51,158
52,10,13,219,204
32,33,43,51,158
53,10,59,118,216
33,33,0,58,118
54,10,43,51,158
34,33,59,118,216
55,10,43,51,158
35,33,0,58,118
56,10,0,148,251
36,33,0,148,251
57,10,0,148,251
37,33,67,235,255
58,10,13,219,204
38,33,67,235,255
60,10,67,235,255
40,33,43,51,158
62,10,43,51,158
42,33,0,148,251
64,10,13,219,204
44,33,13,219,204
65,10,0,58,118
45,33,67,235,255
66,10,59,118,216
46,33,43,51,158
67,10,59,118,216
47,33,0,58,118
68,10,43,51,158
48,33,67,235,255
69,10,13,219,204
49,33,0,58,118
71,10,59,118,216
50,33,0,58,118
73,10,67,235,255
51,33,13,219,204
74,10,67,235,255
52,33,67,235,255
75,10,59,118,216
53,33,43,51,158
76,10,13,219,204
54,33,13,219,204
77,10,0,58,118
55,33,43,51,158
78,10,67,235,255
56,33,13,219,204
79,10,0,148,251
57,33,67,235,255
80,10,0,148,251
58,33,67,235,255
81,10,67,235,255
60,33,0,58,118
83,10,59,118,216
61,33,0,58,118
85,10,0,58,118
62,33,0,148,251
86,10,59,118,216
63,33,0,148,251
87,10,43,51,158
64,33,0,148,251
88,10,0,58,118
65,33,59,118,216
89,10,67,235,255
66,33,0,58,118
90,10,67,235,255
67,33,0,148,251
91,10,59,118,216
68,33,59,118,216
92,10,0,58,118
69,33,59,118,216
93,10,43,51,158
70,33,67,235,255
94,10,59,118,216
71,33,67,235,255
95,10,13,219,204
72,33,13,219,204
96,10,0,58,118
73,33,59,118,216
97,10,67,235,255
74,33,13,219,204
98,10,59,118,216
75,33,13,219,204
99,10,13,219,204
76,33,43,51,158
99,10,13,219,204
77,33,0,58,118
